Staff,YTD_Actual
JER,53455.5
GNS,153.5
JLH,451.0
AEZ,50202.0
RAW,119761.5
ERH,30322.5
BPL,54199.5
ASW,2930.0
CAJ,94713.5
TGF,50116.0
DAC,1600.0
JRJ,311102.0
WMJ,64285.0
